,name,position,year_end,smallname
4083,Evan Turner,G,2018,E. Turner
4091,Myles Turner,C-F,2018,M. Turner
4101,Ekpe Udoh,C-F,2018,E. Udoh
4103,Beno Udrih,G,2017,B. Udrih
4105,Tyler Ulis,G,2018,T. Ulis
4109,Jarrod Uthoff,F,2017,J. Uthoff
4112,Jonas Valanciunas,C,2018,J. Valanciunas
4114,Denzel Valentine,G,2018,D. Valentine
4131,Fred VanVleet,G,2018,F. VanVleet
4133,Anderson Varejao,F-C,2017,A. Varejao
4135,Greivis Vasquez,G,2017,G. Vasquez
4140,Rashad Vaughn,G,2018,R. Vaughn
4158,Noah Vonleh,F,2018,N. Vonleh
4165,Nikola Vucevic,C,2018,N. Vucevic
4166,Sasha Vujacic,G,2017,S. Vujacic
4167,Dwyane Wade,G,2018,D. Wade
4175,Dion Waiters,G,2018,D. Waiters
4188,Kemba Walker,G,2018,K. Walker
4193,John Wall,G,2018,J. Wall
4201,Taurean Waller-Prince,F,2018,T. Waller-Prince
4208,Derrick Walton,G,2018,D. Walton
4223,T.J. Warren,F,2018,T. Warren
4242,C.J. Watson,G,2017,C. Watson
4258,Briante Weber,G,2018,B. Weber
4282,David West,F,2018,D. West
4290,Russell Westbrook,G,2018,R. Westbrook
4300,Derrick White,G,2018,D. White
4307,Okaro White,F,2018,O. White
4315,Isaiah Whitehead,G,2018,I. Whitehead
4318,Hassan Whiteside,C,2018,H. Whiteside
4328,Andrew Wiggins,F-G,2018,A. Wiggins
4331,C.J. Wilcox,G,2017,C. Wilcox
4335,Jacob Wiley,F,2018,J. Wiley
4343,Damien Wilkins,F-G,2018,D. Wilkins
4352,Alan Williams,F-C,2017,A. Williams
4359,C.J. Williams,G,2018,C. Williams
4365,Deron Williams,G,2017,D. Williams
4366,Derrick Williams,F,2017,D. Williams
4391,Lou Williams,G,2018,L. Williams
4394,Marvin Williams,F,2018,M. Williams
4395,Matt Williams,G,2018,M. Williams
4405,Reggie Williams,F,2017,R. Williams
4419,Troy Williams,F,2018,T. Williams
4433,D.J. Wilson,F,2018,D. Wilson
4436,Jamil Wilson,F,2018,J. Wilson
4446,Kyle Wiltjer,F,2017,K. Wiltjer
4455,Justise Winslow,F,2018,J. Winslow
4462,Jeff Withey,C,2018,J. Withey
4470,Nate Wolters,G,2018,N. Wolters
4473,Christian Wood,F,2017,C. Wood
4487,Metta World Peace,F,2017,M. World
4494,Brandan Wright,F-C,2018,B. Wright
4497,Delon Wright,G,2018,D. Wright
4512,Guerschon Yabusele,F,2018,G. Yabusele
4520,James Young,G-F,2017,J. Young
4521,Joe Young,G,2018,J. Young
4524,Nick Young,G-F,2018,N. Young
4527,Thaddeus Young,F,2018,T. Young
4532,Cody Zeller,C-F,2018,C. Zeller
4537,Tyler Zeller,F-C,2018,T. Zeller
4543,Stephen Zimmerman,C,2017,S. Zimmerman
4544,Paul Zipser,G-F,2018,P. Zipser
4545,Ante Zizic,F-C,2018,A. Zizic
4548,Ivica Zubac,C,2018,I. Zubac
