,name,position,year_end,smallname
1425,Manu Ginobili,G,2018,M. Ginobili
1438,Rudy Gobert,C,2018,R. Gobert
1449,Archie Goodwin,G,2017,A. Goodwin
1451,Aaron Gordon,F,2018,A. Gordon
1454,Eric Gordon,G,2018,E. Gordon
1457,Marcin Gortat,C-F,2018,M. Gortat
1471,Treveon Graham,G,2018,T. Graham
1482,Jerami Grant,F,2018,J. Grant
1483,Jerian Grant,G,2018,J. Grant
1501,Danny Green,G-F,2018,D. Green
1503,Draymond Green,F,2018,D. Green
1505,Gerald Green,G-F,2017,G. Green
1506,JaMychal Green,F,2018,J. Green
1507,Jeff Green,F,2018,J. Green
1536,Blake Griffin,F,2018,B. Griffin
1591,Daniel Hamilton,G-F,2018,D. Hamilton
1595,Justin Hamilton,C,2017,J. Hamilton
1606,A.J. Hammons,C,2017,A. Hammons
1626,Tim Hardaway,G,2018,T. Hardaway
1627,James Harden,G,2018,J. Harden
1635,Maurice Harkless,F-G,2018,M. Harkless
1640,Justin Harper,F,2017,J. Harper
1644,Montrezl Harrell,F-C,2018,M. Harrell
1655,Devin Harris,G,2018,D. Harris
1657,Gary Harris,G,2018,G. Harris
1658,Joe Harris,G,2018,J. Harris
